tag	label	workload	writers	have	trial	record_cnt	dataset_bytes	ops	reads	writes	failed	run_s	steady_ops_s	cache_hits	cache_misses	h	cache_capacity	cache_ratio	s3_get	s3_head	s3_put	s3_list	s3_delete	s3_other	s3_bytes_in	s3_bytes_out	get_per_op	get_per_miss	put_per_op	put_per_write	s3_get_rate_steady	s3_put_rate_steady	s3_bytes_out_rate_steady	steady_window_s	get_per_op_steady	h_steady	du_corfu_kb	du_corfu_delta_kb	du_minio_kb	du_minio_delta_kb	du_cassandra_kb	du_cassandra_delta_kb	bucket_bytes	checkpoint_bytes	client_user_s	client_sys_s	client_cpu_s_per_op	client_rss_max_kb	replay_entries	replay_ms	replay_stream_mb	replay_live_files	replay_live_mb	restore_files	restore_live_mb	join_gets	ckpt_count	ckpt_files_mean	ckpt_objects	ckpt_live_mb_mean	ckpt_upload_ms_mean	ack_fast	ack_slow	server_cpu_corfu_s	server_cpu_minio_s	server_cpu_cassandra_s	server_cpu_s_per_op	server_nproc	server_elapsed_s	server_busy_frac	notes
cost-20260827-notrim	ozonedb-corfu-lru512m	a	8	8	1	1000000	1024000000	243314	121608	121706	0	94	3025.8	58675	104640	0.35928	536870912	0.524288	127939	147	3	5	2	2	235990103	8672436473	0.52642	1.2241	3.3e-05	6.6e-05	1092.57	0.033	71978300	60	0.36108	0.40979	359368	168592	1309648	72084	1068968	0	1338750562	45630834	301.86	126.24	0.0017595	2825516	35641	1408	41.0	3.0	2.0	3.0	28.0	5.0	0					121789	0	161.4	167.7	0.0	0.0013525	32	120	0.1094	
cost-20260827	ozonedb-corfu-lru512m	c	8	8	1	1000000	1024000000	1185908	1185908	0	0	120	10830.2	717103	466500	0.60586	536870912	0.524288	443840	123	0	5	0	2	0	29489258702	0.37437	0.9517	4e-06		4152.32	0.0	273613131	60	0.3834	0.59713	45916	-144860	1221556	-489480	1068968	0	1232279208	32476399	362.46	103.14	0.0003926	1742580	35641	1437	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	2.0	39	0	0	94.9	567.9	0.0	0.0005589	32	120	0.1726	
cost-20260827-long	ozonedb-corfu-lru512m	c	8	8	1	1000000	1024000000	6445296	6445296	0	0	601	10575.0	3991242	2441339	0.62047	536870912	0.524288	2441783	124	5	5	4	2	3085898	161139938558	0.37887	1.0002	2e-06		3751.2	0.083	247174430	60	0.35472	0.64536	45916	-144860	1205788	-31824	1068968	0	1232279208	32476399	1697.8	477.98	0.0003376	1755128	35641	1422	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	2.0	38	0	0	460.6	3123.9	0.0	0.0005561	32	1810	0.1864	
cost-20260827-notrim	ozonedb-corfu-lru512m	c	8	8	1	1000000	1024000000	1192573	1192573	0	0	120	10901.5	720141	470001	0.60509	536870912	0.524288	447297	120	0	5	0	2	0	29717020385	0.37517	0.9519	4e-06		4098.1	0.0	270039734	51	0.37592	0.6051	190776	0	1449392	96	1068968	0	1245433643	45630834	366.1	104.26	0.0003944	1756004	35641	1445	41.0	3.0	2.0	3.0	28.0	5.0	0					0	0	86.4	572.8	0.0	0.0005528	32	120	0.1717	
cost-20260827	ozonedb-corfu-lru64m	a	8	8	1	1000000	1024000000	178997	89840	89157	0	104	2579.0	7678	113437	0.06339	67108864	0.065536	171877	150	8	5	6	2	257089476	11566399196	0.96106	1.5165	7.3e-05	0.000146	1400.17	0.117	92230601	60	0.54291	0.28671	194480	3704	1469964	-22664	1068968	0	1343609602	50774875	314.0	122.45	0.0024383	2177216	35641	1425	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	20.0	182	89246	0	154.7	224.3	0.0	0.0021176	32	150	0.1139	
cost-20260827	ozonedb-corfu-lru64m	c	8	8	1	1000000	1024000000	694638	694638	0	0	120	6145.6	171812	521426	0.24784	67108864	0.065536	495655	123	0	5	0	2	0	32900501089	0.71372	0.9508	7e-06		4686.67	0.0	308796088	60	0.7626	0.19795	45916	-144860	1221508	-404016	1068968	0	1232279208	32476399	356.65	86.17	0.0006375	1168900	35641	1399	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	2.0	38	0	0	63.8	630.0	0.0	0.0009987	32	120	0.1807	
cost-20260827-long	ozonedb-corfu-lru64m	c	8	8	1	1000000	1024000000	3680627	3680627	0	0	600	6125.9	915250	2758248	0.24915	67108864	0.065536	2738158	123	0	5	0	2	0	180648977135	0.74397	0.9928	1e-06		4669.2	0.0	307624115	60	0.76221	0.23224	45916	-144860	1221652	0	1068968	0	1232279208	32476399	1613.02	410.59	0.0005498	1155828	35641	1499	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	2.0	40	0	0	304.2	3488.8	0.0	0.0010305	32	600	0.1976	
cost-20260827	ozonedb-corfu-lru8m	a	8	8	1	1000000	1024000000	175009	87725	87284	0	105	2542.6	952	117469	0.00804	8388608	0.008192	172697	150	8	5	6	2	256078282	11620901388	0.98765	1.4714	7.4e-05	0.000149	1635.97	0.133	107747020	60	0.64344	0.12762	70340	-120436	1510700	273184	1068968	0	1336359101	42972357	313.53	119.38	0.0024736	2072888	35641	1473	41.0	3.0	2.0	3.0	28.0	5.0	2	3.0	10	20.0	194	87367	0	149.8	224.6	0.0	0.0021393	32	120	0.1114	
cost-20260827	ozonedb-corfu-lru8m	c	8	8	1	1000000	1024000000	609946	609946	0	0	120	5398.0	74443	534316	0.12229	8388608	0.008192	507703	123	0	5	0	2	0	33693586498	0.83258	0.9504	8e-06		4810.15	0.0	316919626	60	0.89109	0.06243	45916	-144860	1494788	3144	1068968	0	1232279208	32476399	344.2	86.5	0.0007061	1070600	35641	1396	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	2.0	38	0	0	64.5	646.4	0.0	0.0011657	32	120	0.1852	
cost-20260827-long	ozonedb-corfu-lru8m	c	8	8	1	1000000	1024000000	3215239	3215239	0	0	600	5286.2	393007	2815919	0.12247	8388608	0.008192	2795466	123	0	5	0	2	0	184420884072	0.86948	0.9928	2e-06		4717.08	0.0	310781075	60	0.89233	0.10118	45916	-144860	1221700	-15912	1068968	0	1232279208	32476399	1559.06	406.07	0.0006112	1081228	35641	1399	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	2.0	39	0	0	296.7	3566.4	0.0	0.0012015	32	600	0.2012	
