system,workload,threads,n_repeats,throughput_mean,throughput_stddev,rel_stddev_pct,max_rss_kb_mean,bytes_written_mean,failures
trunkcpp,d,2,4,1.2013275,0.3380839588756024,28.14253056519578,17752,2902016,
trunkcpp,d,4,3,3.10705,0.026474691688478692,0.8520845074420653,19202.666666666668,2976426.6666666665,
trunkcpp,d,8,4,5.445305,1.1988880610660304,22.01691293813717,22414,3089408,
trunkcpp,d,16,3,9.765476666666666,1.102954903172987,11.294429763349873,28809.333333333332,2984618.6666666665,
trunkcpp,f,2,2,0.1205904,0.029400934276311706,24.38082490506019,17746,3319808,
trunkcpp,f,8,1,0.614648,,,19556,3178496,
bcw2,a,2,2,0.1288005,0.02925371464446866,22.712423200584357,17402,2422784,
bcw2,a,8,3,0.5100926666666666,0.048737156075558334,9.554569053902297,18829.333333333332,3529386.6666666665,
bcw2,b,2,4,1.234503,0.5042050167534367,40.842753460577796,17802,3107840,
bcw2,b,4,3,2.7827633333333335,0.9756257021180476,35.05960030562118,19746.666666666668,2914986.6666666665,
bcw2,b,8,3,4.868903333333333,0.448229677434832,9.205967889445988,23652,2995541.3333333335,
bcw2,b,16,4,9.960365,0.9049588362829918,9.085599135001496,32218,3095552,
bcw2,c,2,3,65233.46666666667,519.1246606869412,0.7957949917633401,286996,14680064,
bcw2,c,4,3,123020.66666666667,1104.2129927388708,0.8975833269793727,559294.6666666666,14778368,
bcw2,c,8,3,230537.0,1287.1379102489368,0.558321618763555,1103664,14544896,
bcw2,c,16,3,364512.3333333333,1192.3260180560237,0.327101694242451,2191961.3333333335,14570837.333333334,
bcw2,d,2,4,1.131063,0.11898483890535522,10.51973576231874,17670,3128320,
bcw2,d,4,2,1.87083,0.6473138317694129,34.60035555178252,18340,2959360,
bcw2,d,8,4,4.5738900000000005,0.7049616017911898,15.412736244010892,21805,2983936,
bcw2,d,16,4,11.514569999999999,1.7808002256289164,15.465625078738645,30739,3060736,
bcw2,f,2,1,0.191199,,,17672,3248128,
bcw2,f,4,3,0.27721566666666664,0.04728830183389263,17.058307851970596,18097.333333333332,2894506.6666666665,
bcw2,f,16,1,1.33856,,,21544,149340160,
hctree,a,2,3,35390.9,1336.1434204455759,3.7753869510116327,1408328,24200623445.333332,
hctree,a,4,3,33484.6,856.83564935173,2.558894683979292,1412145.3333333333,23939994965.333332,
hctree,a,8,3,32118.8,127.6947923761959,0.39757024663497986,1414221.3333333333,22143613610.666668,
hctree,a,16,3,31410.86666666667,293.0644525242407,0.9330033953989618,1424878.6666666667,21608248661.333332,
hctree,b,2,3,197128.66666666666,1830.6103717977055,0.9286373223906411,1408268,24385362602.666668,
hctree,b,4,3,320471.3333333333,1435.3349202654178,0.4478824690296016,1412122.6666666667,24009226922.666668,
hctree,b,8,3,344395.0,1399.5359945353316,0.40637523614899507,1414417.3333333333,22402569557.333332,
hctree,b,16,3,322506.0,1899.1279577743044,0.5888659304863489,1425016,23363106133.333332,
hctree,c,2,3,300857.0,9585.261029309531,3.185985710589925,1400764,58216448,
hctree,c,4,3,580880.6666666666,4831.788937167406,0.8318040545047245,1400969.3333333333,1368064,
hctree,c,8,3,1123206.6666666667,4571.174174469108,0.4069753421278163,1401812,1368064,
hctree,c,16,3,2180393.3333333335,29614.294408837995,1.3582088128825989,1402982.6666666667,1277952,
hctree,d,2,3,197445.0,556.9730693669129,0.28209023746709866,2645774.6666666665,5065860437.333333,
hctree,d,4,3,320272.6666666667,463.5615744788748,0.14473966177118083,2636788,6643074389.333333,
hctree,d,8,3,350215.3333333333,1754.602329114302,0.501006712759855,2056946.6666666667,4179613013.3333335,
hctree,d,16,3,331890.3333333333,1137.0973279949844,0.34261236733669587,1814101.3333333333,4720286378.666667,
hctree,f,2,3,36311.26666666667,421.92163174377765,1.161957900331516,1408572,24162003626.666668,
hctree,f,4,3,34040.566666666666,220.84839445495774,0.648780017728723,1411837.3333333333,23616193877.333332,
hctree,f,8,3,31699.833333333332,112.05790169967241,0.35349681659631993,1414266.6666666667,24644127402.666668,
hctree,f,16,3,30020.033333333333,935.9561225470628,3.1177717631239457,1424725.3333333333,21328038570.666668,
